timestamp,temp,humidity,vibration,current,flame
2026-04-22T11:13:53.499548,32.5,27.0,0,0.07,0
2026-04-22T11:13:54.543031,32.6,27.0,0,0.07,0
2026-04-22T11:13:55.561936,32.6,27.0,0,0.17,0
2026-04-22T11:13:56.605899,32.4,27.0,0,0.12,0
2026-04-22T11:13:57.624581,32.4,27.0,0,0.07,0
2026-04-22T11:13:58.668664,32.1,27.0,0,0.07,0
2026-04-22T11:13:59.687485,32.1,27.0,0,0.17,0
2026-04-22T11:14:00.731217,32.0,27.0,0,0.07,0
2026-04-22T11:14:01.750252,32.0,27.0,0,0.12,0
2026-04-22T11:14:02.794030,32.0,27.0,0,0.66,0
2026-04-22T11:14:03.813160,32.0,27.0,0,0.07,0
2026-04-22T11:14:04.856685,32.5,27.0,0,0.32,0
2026-04-22T11:14:05.875509,32.5,27.0,0,0.56,0
2026-04-22T11:14:06.919174,32.8,28.0,0,0.17,0
2026-04-22T11:14:07.938106,32.8,28.0,0,0.42,0
2026-04-22T11:14:08.981858,32.2,28.0,0,0.17,0
2026-04-22T11:14:10.000649,32.2,28.0,0,0.32,0
2026-04-22T11:14:11.044345,32.8,28.0,0,0.27,0
2026-04-22T11:14:12.064158,32.8,28.0,0,0.42,0
2026-04-22T11:14:13.107337,32.4,27.0,0,0.46,0
2026-04-22T11:14:14.126295,32.4,27.0,0,0.32,0
2026-04-22T11:14:15.169899,32.9,27.0,0,0.37,0
2026-04-22T11:14:16.189129,32.9,27.0,0,0.46,0
2026-04-22T11:14:17.232727,32.8,26.0,0,0.37,0
2026-04-22T11:14:18.251355,32.8,26.0,0,0.17,0
2026-04-22T11:14:19.295604,32.5,26.0,0,0.56,0
2026-04-22T11:14:20.314555,32.5,26.0,0,0.42,0
2026-04-22T11:14:20.605120,32.5,26.0,0,0.02,0
2026-04-22T11:14:21.649115,32.5,27.0,0,0.37,0
2026-04-22T11:14:22.338456,32.5,27.0,0,0.22,0
2026-04-22T11:14:23.357310,32.5,27.0,0,0.27,0
2026-04-22T11:14:24.202723,32.4,27.0,0,0.32,0
2026-04-22T11:14:25.221490,32.4,27.0,0,0.17,0
2026-04-22T11:14:26.265368,32.5,28.0,0,0.56,0
2026-04-22T11:14:27.284042,32.5,28.0,0,0.27,0
2026-04-22T11:14:28.328096,32.3,29.0,0,0.22,0
2026-04-22T11:14:29.347025,32.3,29.0,0,0.46,0
2026-04-22T11:14:30.390962,32.3,28.0,0,0.51,0
2026-04-22T11:14:31.409441,32.3,28.0,0,0.37,0
2026-04-22T11:14:32.453362,32.4,28.0,0,0.27,0
2026-04-22T11:14:33.472250,32.4,28.0,0,0.32,0
2026-04-22T11:14:34.516038,32.1,27.0,0,0.37,0
2026-04-22T11:14:35.534984,32.1,27.0,0,0.46,0
2026-04-22T11:14:36.578587,32.5,27.0,0,0.17,0
2026-04-22T11:14:37.597488,32.5,27.0,0,0.42,0
2026-04-22T11:14:38.641572,32.5,27.0,0,0.27,0
2026-04-22T11:14:39.660122,32.5,27.0,0,0.22,0
2026-04-22T11:14:40.704158,32.4,27.0,0,0.22,0
2026-04-22T11:14:41.723241,32.4,27.0,0,0.37,0
2026-04-22T11:14:42.766888,32.7,27.0,0,0.17,0
2026-04-22T11:14:43.785738,32.7,27.0,0,0.17,0
2026-04-22T11:14:44.829369,32.4,26.0,0,0.12,0
2026-04-22T11:14:45.848667,32.4,26.0,0,0.27,0
2026-04-22T11:14:46.892281,32.7,26.0,0,0.27,0
2026-04-22T11:14:47.910944,32.7,26.0,0,0.37,0
2026-04-22T11:14:48.954867,32.0,27.0,0,0.17,0
2026-04-22T11:14:49.973606,32.0,27.0,0,0.32,0
2026-04-22T11:14:51.017357,32.7,27.0,0,0.46,0
2026-04-22T11:14:52.036360,32.7,27.0,0,0.37,0
2026-04-22T11:14:53.080344,32.2,26.0,0,0.42,0
2026-04-22T11:14:54.098934,32.2,26.0,0,0.17,0
2026-04-22T11:14:55.142920,32.9,26.0,0,0.27,0
2026-04-22T11:14:56.161669,32.9,26.0,0,0.37,0
2026-04-22T11:14:57.205297,32.0,26.0,0,0.37,0
2026-04-22T11:14:58.224668,32.0,26.0,0,0.46,0
